"city","year","quarter"
1,88,1
3,88,1
4,88,1
5,88,1
7,88,1
8,88,1
11,88,1
12,88,1
13,88,1
14,88,1
15,88,1
16,88,1
18,88,1
20,88,1
23,88,1
24,88,1
25,88,1
26,88,1
27,88,1
29,88,1
30,88,1
31,88,1
32,88,1
33,88,1
34,88,1
35,88,1
36,88,1
37,88,1
38,88,1
39,88,1
40,88,1
41,88,1
43,88,1
44,88,1
45,88,1
47,88,1
48,88,1
49,88,1
52,88,1
53,88,1
54,88,1
55,88,1
56,88,1
58,88,1
61,88,1
63,88,1
65,88,1
1,88,2
3,88,2
4,88,2
5,88,2
7,88,2
8,88,2
11,88,2
12,88,2
13,88,2
14,88,2
15,88,2
16,88,2
18,88,2
20,88,2
23,88,2
24,88,2
25,88,2
26,88,2
27,88,2
29,88,2
30,88,2
31,88,2
32,88,2
33,88,2
34,88,2
35,88,2
36,88,2
37,88,2
38,88,2
39,88,2
40,88,2
41,88,2
43,88,2
44,88,2
45,88,2
47,88,2
48,88,2
49,88,2
52,88,2
53,88,2
54,88,2
55,88,2
56,88,2
58,88,2
61,88,2
63,88,2
65,88,2
